time,homeplayer,awayplayer,homescore,awayscore,set1homescore,set1awayscore,set2homescore,set2awayscore,set3homescore,set3awayscore,set4homescore,set4awayscore,set5homescore,set5awayscore,nset
07.09.2021,Djokovic N.,Brooksby J.,3,1,1,6,6,3,6,2,6,2,0,0,5
04.09.2021,Djokovic N.,Nishikori K.,3,1,6,4,7,7,6,3,6,3,6,2,5
03.09.2021,Djokovic N.,Griekspoor T.,3,0,6,2,6,3,6,2,0,0,0,0,5
31.07.2021,Djokovic N.,Carreno-Busta P.,1,2,4,6,7,8,6,6,3,6,0,0,5
30.07.2021,Djokovic N.,Zverev A.,1,2,6,1,3,6,1,6,0,0,0,0,5
29.07.2021,Djokovic N.,Nishikori K.,2,0,6,2,6,0,0,0,0,0,0,0,3
28.07.2021,Djokovic N.,Davidovich Fokina A.,2,0,6,3,6,1,0,0,0,0,0,0,3
26.07.2021,Djokovic N.,Struff J-L.,2,0,6,4,6,3,0,0,0,0,0,0,3
11.07.2021,Djokovic N.,Berrettini M.,3,1,6,4,7,7,6,4,6,4,6,3,5
09.07.2021,Djokovic N.,Shapovalov D.,3,0,7,7,6,3,7,5,7,5,0,0,5
07.07.2021,Djokovic N.,Fucsovics M.,3,0,6,3,6,4,6,4,0,0,0,0,5
05.07.2021,Djokovic N.,Garin C.,3,0,6,2,6,4,6,2,0,0,0,0,5
02.07.2021,Djokovic N.,Kudla D.,3,0,6,4,6,3,7,9,6,7,0,0,5
30.06.2021,Djokovic N.,Anderson K.,3,0,6,3,6,3,6,3,0,0,0,0,5
13.06.2021,Djokovic N.,Tsitsipas S.,3,2,6,6,7,8,2,6,6,3,6,2,5
11.06.2021,Djokovic N.,Nadal R.,3,1,3,6,6,3,7,7,6,4,6,2,5
09.06.2021,Djokovic N.,Berrettini M.,3,1,6,3,6,2,6,5,7,7,7,5,5
07.06.2021,Djokovic N.,Musetti L.,2,2,6,7,7,9,6,2,7,7,6,1,5
05.06.2021,Djokovic N.,Berankis R.,3,0,6,1,6,4,6,1,0,0,0,0,5
03.06.2021,Djokovic N.,Cuevas P.,3,0,6,3,6,2,6,4,0,0,0,0,5
29.05.2021,Djokovic N.,Molcan A.,2,0,6,4,6,3,0,0,0,0,0,0,3
28.05.2021,Djokovic N.,Martin A.,2,1,6,1,4,6,6,0,0,0,0,0,5
27.05.2021,Djokovic N.,Coria F.,2,0,6,1,6,0,0,0,0,0,0,0,3
16.05.2021,Djokovic N.,Nadal R.,1,2,5,7,6,1,3,6,0,0,0,0,5
15.05.2021,Djokovic N.,Sonego L.,2,1,6,3,6,5,7,7,6,2,0,0,5
15.05.2021,Djokovic N.,Tsitsipas S.,2,1,4,6,7,5,7,5,0,0,0,0,5
13.05.2021,Djokovic N.,Davidovich Fokina A.,2,0,6,2,6,1,0,0,0,0,0,0,3
24.04.2021,Djokovic N.,Karatsev A.,1,2,5,7,6,4,4,6,0,0,0,0,5
23.04.2021,Djokovic N.,Kecmanovic M.,2,0,6,1,6,3,0,0,0,0,0,0,3
15.04.2021,Djokovic N.,Evans D.,0,2,4,6,5,7,0,0,0,0,0,0,3
21.02.2021,Djokovic N.,Medvedev D.,3,0,7,5,6,2,6,2,0,0,0,0,5
